rs_id,gene_symbol,clinvar_variation_id,clinical_signficance,medgen_id,condition_name
rs1799990,PRNP,RCV001282570,Benign,CN235283,none provided
rs1800014,PRNP,RCV000014350,Uncertain significance,,Protection against Creutzfeldt-Jakob disease
rs1800014,PRNP,RCV000020257,Benign,CN043607,Genetic prion disease
rs1800014,PRNP,RCV000873683,Benign,C1864112,Huntington disease-like 1 (HDL1)
rs1800014,PRNP,RCV001287480,Benign,CN235283,none provided
rs1800450,MBL2,RCV000015424,Pathogenic,C3280586,Mannose-binding protein deficiency (MBLD)
rs1800553,ABCA4,RCV000008339,risk factor,,"MACULAR DEGENERATION, AGE-RELATED, 2, SUSCEPTIBILITY TO"
rs1800553,ABCA4,RCV000008340,Pathogenic/Likely pathogenic,C1855465,Stargardt disease 1 (STGD1)
rs1800553,ABCA4,RCV000008341,Pathogenic,C1858806,Cone-rod dystrophy 3 (CORD3)
rs1800553,ABCA4,RCV000078670,Pathogenic/Likely pathogenic,CN517202,not provided
rs1800553,ABCA4,RCV000197749,Pathogenic,C1855465,Stargardt disease 1 (STGD1)
rs1800553,ABCA4,RCV000273328,Pathogenic,CN239167,ABCA4-Related Disorders
rs1800553,ABCA4,RCV000504952,Likely pathogenic,C0730292,Macular dystrophy
rs1800553,ABCA4,RCV000505149,Pathogenic,C0854723,Retinal dystrophy
rs1800553,ABCA4,RCV000624210,Pathogenic,C0950123,Inborn genetic diseases
rs1800553,ABCA4,RCV000678513,Likely pathogenic,C3495438,Age-related macular degeneration 2 (ARMD2)
rs1800553,ABCA4,RCV000786006,Pathogenic,C0271093,Stargardt disease (FFM)
rs1800553,ABCA4,RCV000787514,Pathogenic,C0271093,Stargardt disease (FFM)
rs1800553,ABCA4,RCV001001680,Pathogenic,CN235283,none provided
rs1800553,ABCA4,RCV001254602,Likely pathogenic,,
rs1800553,ABCA4,RCV001258239,Uncertain significance,C1857780,Joubert syndrome 5 (JBTS5)
rs1800555,ABCA4,RCV000008336,risk factor,,"MACULAR DEGENERATION, AGE-RELATED, 2, SUSCEPTIBILITY TO"
rs1800555,ABCA4,RCV000085827,Likely benign,CN517202,not provided
rs1800555,ABCA4,RCV000243384,Benign/Likely benign,CN169374,not specified
rs1800555,ABCA4,RCV000268191,Likely benign,CN239312,"Stargardt Disease, Recessive"
rs1800555,ABCA4,RCV000323169,Likely benign,CN239309,"Cone-Rod Dystrophy, Recessive"
rs1800555,ABCA4,RCV000359301,Likely benign,C0024437,Macular degeneration
rs1800555,ABCA4,RCV000362825,Likely benign,CN239466,"Retinitis Pigmentosa, Recessive"
rs1800555,ABCA4,RCV001099675,Likely benign,CN239167,ABCA4-Related Disorders
rs1800555,ABCA4,RCV001283585,Benign,CN235283,none provided
rs1800728,ABCA4,RCV000008366,Pathogenic,C1858806,Cone-rod dystrophy 3 (CORD3)
rs1800728,ABCA4,RCV000078669,Pathogenic,CN517202,not provided
rs1800728,ABCA4,RCV000177965,Pathogenic/Likely pathogenic,C1855465,Stargardt disease 1 (STGD1)
rs1800728,ABCA4,RCV000210325,Likely pathogenic,C1828210,Bull's eye maculopathy (MCDCA)
rs1800728,ABCA4,RCV000210327,Pathogenic,C0854723,Retinal dystrophy
rs1800728,ABCA4,RCV000504857,Pathogenic/Likely pathogenic,C0730292,Macular dystrophy
rs1800728,ABCA4,RCV000678511,Pathogenic,C3495438,Age-related macular degeneration 2 (ARMD2)
rs1800728,ABCA4,RCV000763440,Pathogenic,,
rs1800728,ABCA4,RCV000787510,Pathogenic,C0035334,Retinitis pigmentosa (RP)
rs1800728,ABCA4,RCV000787771,Pathogenic,C0271093,Stargardt disease (FFM)
rs1800728,ABCA4,RCV001000430,Likely pathogenic,CN169374,not specified
rs1800728,ABCA4,RCV001352973,Likely pathogenic,C1855465,Stargardt disease 1 (STGD1)
rs62646861,ABCA4,RCV000085653,Pathogenic,CN517202,not provided
rs62646861,ABCA4,RCV000408527,Pathogenic/Likely pathogenic,C1855465,Stargardt disease 1 (STGD1)
rs62646861,ABCA4,RCV001075709,Pathogenic,C0854723,Retinal dystrophy
rs61749409,ABCA4,RCV000085428,Pathogenic,CN517202,not provided
rs61749409,ABCA4,RCV000408597,Pathogenic,C1855465,Stargardt disease 1 (STGD1)
rs61749409,ABCA4,RCV000504951,Pathogenic,C0854723,Retinal dystrophy
rs61749409,ABCA4,RCV000850520,Pathogenic,,
rs61749409,ABCA4,RCV001353025,Likely pathogenic,C1858806,Cone-rod dystrophy 3 (CORD3)
rs61751402,ABCA4,RCV000085641,Pathogenic,CN517202,not provided
rs61751402,ABCA4,RCV000177442,Pathogenic,C1855465,Stargardt disease 1 (STGD1)
rs61751402,ABCA4,RCV000210300,Pathogenic,C0854723,Retinal dystrophy
rs61751402,ABCA4,RCV000779003,Pathogenic,CN239167,ABCA4-Related Disorders
rs61751402,ABCA4,RCV000787763,Pathogenic,C0730292,Macular dystrophy
rs61751408,ABCA4,RCV000008332,Pathogenic/Likely pathogenic,C1855465,Stargardt disease 1 (STGD1)
rs61751408,ABCA4,RCV000008333,Pathogenic,C1858806,Cone-rod dystrophy 3 (CORD3)
rs61751408,ABCA4,RCV000085785,Pathogenic,CN517202,not provided
rs61751408,ABCA4,RCV000763438,Pathogenic,,
rs61751408,ABCA4,RCV000826132,Pathogenic,C0271093,Stargardt disease (FFM)
rs61751408,ABCA4,RCV001074885,Pathogenic,C0854723,Retinal dystrophy
rs62645944,ABCA4,RCV000085866,Pathogenic,CN517202,not provided
rs62645944,ABCA4,RCV000408540,Pathogenic/Likely pathogenic,C1855465,Stargardt disease 1 (STGD1)
rs62645944,ABCA4,RCV000678516,Pathogenic,C1866422,Retinitis pigmentosa 19 (RP19)
rs62645944,ABCA4,RCV000763049,Pathogenic,,
rs62645944,ABCA4,RCV000787525,Likely pathogenic,C0730292,Macular dystrophy
rs62645944,ABCA4,RCV000787526,Likely pathogenic,C0035334,Retinitis pigmentosa (RP)
rs62645944,ABCA4,RCV001074394,Pathogenic,C0854723,Retinal dystrophy
rs62645944,ABCA4,RCV001336809,Pathogenic,C1858806,Cone-rod dystrophy 3 (CORD3)
rs1800872,IL10,RCV000018369,risk factor,C1836230,"Human immunodeficiency virus type 1, susceptibility to"
rs1800872,IL10,RCV000022522,protective,C3280678,"Graft-versus-host disease, resistance to"
rs1801175,G6PC1,RCV000012778,Pathogenic,C2919796,Glycogen storage disease due to glucose-6-phosphatase deficiency type IA (GSD1A)
rs1801175,G6PC1,RCV000360229,Pathogenic,C0017919,Glycogen storage disease
rs1801175,G6PC1,RCV000424594,Pathogenic,CN517202,not provided
rs1801175,G6PC1,RCV000626623,Pathogenic,,
rs1801275,IL4R,RCV000015775,risk factor,C1840254,"Atopy, susceptibility to"
rs1801282,PPARG,RCV000118044,Likely benign,CN169374,not specified
rs1801282,PPARG,RCV000300998,Likely benign,C4016738,"Diabetes Mellitus, Noninsulin-Dependent, with Acanthosis Nigricans and Hypertension"
rs1801282,PPARG,RCV000336176,Likely benign,C1720861,Familial partial lipodystrophy 3 (FPLD3)
rs1801282,PPARG,RCV000406618,Likely benign,C0028754,Obesity (EO Obesity)
rs1805192,PPARG,RCV000008604,risk factor,,"Diabetes mellitus, noninsulin-dependent, modifier of"
rs1805192,PPARG,RCV000008605,risk factor,,"Obesity, modifier of"
rs1805192,PPARG,RCV000008606,risk factor,,"Body mass index, modifier of"
rs1805192,PPARG,RCV000008607,risk factor,,"Intimal medial thickness of internal carotid artery, modifier of"
rs587776416,PALB2,RCV000123337,Pathogenic,C0346153,Familial cancer of breast
rs587776416,PALB2,RCV000129400,Pathogenic,C0027672,Hereditary cancer-predisposing syndrome
rs587776416,PALB2,RCV000133478,Pathogenic,CN517202,not provided
rs587776416,PALB2,RCV000589589,Pathogenic,C0677776,Hereditary breast and ovarian cancer syndrome (HBOC)
rs587776416,PALB2,RCV000677892,Pathogenic,C1458155,Breast neoplasm
rs587776416,PALB2,RCV000677893,Pathogenic,C0346647,Cancer of the pancreas
rs587776416,PALB2,RCV001336119,Pathogenic,C1835817,"Fanconi anemia, complementation group N (FANCN)"
rs180177478,NLRP3,RCV000084195,not provided,C4551895,Familial cold autoinflammatory syndrome 1 (FCAS1)
rs1805096,LEPR,RCV000280669,Benign,C3554225,Leptin receptor deficiency (LEPRD)
rs1805096,LEPR,RCV000335664,Benign,CN239457,Monogenic Non-Syndromic Obesity
rs1805096,LEPR,RCV000516559,Benign,CN169374,not specified
rs397514357,BTD,RCV000021923,Likely pathogenic,C0220754,Biotinidase deficiency
rs397514357,BTD,RCV000438885,Likely pathogenic,CN517202,not provided
rs397514357,BTD,RCV001266904,Uncertain significance,C0950123,Inborn genetic diseases
rs2814778,ACKR1,RCV000000006,Pathogenic,,"DUFFY BLOOD GROUP SYSTEM, FY(a-b-) PHENOTYPE"
rs2814778,ACKR1,RCV000000007,protective,C1970105,"Plasmodium vivax, resistance to"
rs2814778,ACKR1,RCV000000008,association,C2676078,White blood cell count quantitative trait locus 1 (WBCQ1)
rs193922674,PKP2,RCV000007148,Pathogenic,C1836906,Arrhythmogenic right ventricular dysplasia 9 (ARVD9)
rs193922674,PKP2,RCV000054811,Pathogenic,C0349788,Arrhythmogenic right ventricular cardiomyopathy (ARVD)
rs193922674,PKP2,RCV000183771,Pathogenic,CN517202,not provided
rs193922674,PKP2,RCV000252055,Pathogenic,CN230736,Cardiovascular phenotype
rs193922674,PKP2,RCV000771879,Pathogenic,C0878544,Cardiomyopathy (CMYO)
rs397516986,PKP2,RCV000183735,Pathogenic,CN517202,not provided
rs397516986,PKP2,RCV000211737,Pathogenic,C0349788,Arrhythmogenic right ventricular cardiomyopathy (ARVD)
rs397516986,PKP2,RCV000621345,Pathogenic,CN230736,Cardiovascular phenotype
rs397516986,PKP2,RCV000798628,Pathogenic,C1836906,Arrhythmogenic right ventricular dysplasia 9 (ARVD9)
rs397516986,PKP2,RCV001179300,Pathogenic,C0878544,Cardiomyopathy (CMYO)
rs397517021,PKP2,RCV000183813,Pathogenic,CN517202,not provided
rs397517021,PKP2,RCV000211842,Pathogenic,C0349788,Arrhythmogenic right ventricular cardiomyopathy (ARVD)
rs397517021,PKP2,RCV000247451,Pathogenic,CN230736,Cardiovascular phenotype
rs397517021,PKP2,RCV000539343,Pathogenic,C1836906,Arrhythmogenic right ventricular dysplasia 9 (ARVD9)
rs397517021,PKP2,RCV000587629,Pathogenic,C4274968,Familial isolated arrhythmogenic right ventricular dysplasia
rs397517021,PKP2,RCV001171157,Pathogenic,C0878544,Cardiomyopathy (CMYO)
rs727504786,PKP2,RCV000156104,Likely pathogenic,C0349788,Arrhythmogenic right ventricular cardiomyopathy (ARVD)
rs766209297,PKP2,RCV000183736,Pathogenic,CN517202,not provided
rs766209297,PKP2,RCV000208105,Pathogenic,C0349788,Arrhythmogenic right ventricular cardiomyopathy (ARVD)
rs766209297,PKP2,RCV000709751,Pathogenic/Likely pathogenic,C1836906,Arrhythmogenic right ventricular dysplasia 9 (ARVD9)
rs766209297,PKP2,RCV001183229,Likely pathogenic,C0878544,Cardiomyopathy (CMYO)
rs199422114,TBXAS1,RCV000012661,Pathogenic,C4016444,Ghosal hematodiaphyseal syndrome
rs199422216,NIPAL4,RCV000001799,Pathogenic,C2677065,Autosomal recessive congenital ichthyosis 6 (ARCI6)
rs199422216,NIPAL4,RCV000436418,Pathogenic,CN517202,not provided
rs199422217,NIPAL4,RCV000001801,Pathogenic,C2677065,Autosomal recessive congenital ichthyosis 6 (ARCI6)
rs199422217,NIPAL4,RCV000254897,Pathogenic,CN517202,not provided
rs375688767,NIPAL4,RCV000791234,Pathogenic,C2677065,Autosomal recessive congenital ichthyosis 6 (ARCI6)
rs775903553,NIPAL4,RCV000791220,Pathogenic,C2677065,Autosomal recessive congenital ichthyosis 6 (ARCI6)
rs199475575,PAH,RCV000088971,Pathogenic,CN517202,not provided
rs199475575,PAH,RCV000179282,Pathogenic,C0751434,Phenylketonuria (PKU)
rs199475579,PAH,RCV000089072,not provided,CN517202,not provided
rs199475579,PAH,RCV000758103,Uncertain significance,C0751434,Phenylketonuria (PKU)
rs199475579,PAH,RCV000089073,Pathogenic,CN517202,not provided
rs199475579,PAH,RCV000169396,Pathogenic/Likely pathogenic,C0751434,Phenylketonuria (PKU)
rs200652879,KCTD7,RCV000623155,Likely pathogenic,C0950123,Inborn genetic diseases
rs267607199,KCTD7,RCV000000886,Pathogenic,C2673257,"Epilepsy, progressive myoclonic 3 (EPM3)"
rs864321622,UNC80,RCV000203568,Likely pathogenic,C0085584,Encephalopathy
rs864321622,UNC80,RCV000207466,Likely pathogenic,C4225203,"Hypotonia, infantile, with psychomotor retardation and characteristic facies 2 (IHPRF2)"
rs201124247,CFTR,RCV000577786,Conflicting interpretations of pathogenicity,C0010674,Cystic fibrosis (CF)
rs201124247,CFTR,RCV001004275,Pathogenic,,
rs201124247,CFTR,RCV001009371,Pathogenic,,
rs397508604,CFTR,RCV000046973,Pathogenic,C0010674,Cystic fibrosis (CF)
rs397508604,CFTR,RCV001004506,Pathogenic,,
rs78655421,CFTR,RCV000577567,Pathogenic,C0010674,Cystic fibrosis (CF)
rs78655421,CFTR,RCV000577295,Conflicting interpretations of pathogenicity,C0010674,Cystic fibrosis (CF)
rs78655421,CFTR,RCV000985692,Uncertain significance,CN517202,not provided
rs78655421,CFTR,RCV000007528,Pathogenic,C0010674,Cystic fibrosis (CF)
rs78655421,CFTR,RCV000007529,Pathogenic,C0403814,Congenital bilateral aplasia of vas deferens from CFTR mutation (CBAVD)
rs78655421,CFTR,RCV000078997,Pathogenic,CN517202,not provided
rs78655421,CFTR,RCV000190992,Pathogenic,C0010674,Cystic fibrosis (CF)
rs78655421,CFTR,RCV000417156,drug response,CN236562,ivacaftor response - Efficacy
rs78655421,CFTR,RCV000763151,Pathogenic,,
rs78655421,CFTR,RCV000826137,Pathogenic,,
rs78655421,CFTR,RCV001009478,Pathogenic,,CFTR-related disorders (CFTR-RD)
rs78655421,CFTR,RCV001020485,Pathogenic,C0950123,Inborn genetic diseases
rs202179988,CFTR,RCV000219441,Pathogenic,,
rs202179988,CFTR,RCV000507471,Likely pathogenic,CN517202,not provided
rs202179988,CFTR,RCV000660792,drug response,CN236562,ivacaftor response - Efficacy
rs202179988,CFTR,RCV000757802,Pathogenic/Likely pathogenic,C0010674,Cystic fibrosis (CF)
rs202179988,CFTR,RCV001009384,Pathogenic,,
rs202179988,CFTR,RCV001019230,Pathogenic,C0950123,Inborn genetic diseases
rs2066714,ABCA1,RCV000310886,Benign,C0039292,Tangier disease (TGD)
rs2066714,ABCA1,RCV000398007,Benign,C5231558,Familial hypoalphalipoproteinemia
rs2230806,ABCA1,RCV000010114,Benign,CN069267,"Coronary heart disease in familial hypercholesterolemia, protection against"
rs2230806,ABCA1,RCV000310562,Benign,C5231558,Familial hypoalphalipoproteinemia
rs2230806,ABCA1,RCV000367106,Benign,C0039292,Tangier disease (TGD)
rs2066844,NOD2,RCV000004957,Likely benign,C0678202,Inflammatory bowel disease 1 (IBD1)
rs2066844,NOD2,RCV000203217,Conflicting interpretations of pathogenicity,CN169374,not specified
rs2066844,NOD2,RCV000365422,Likely benign,C5201146,Blau syndrome (BLAUS)
rs2066844,NOD2,RCV000416493,Uncertain significance,C4310620,Yao syndrome (YAOS)
rs2066844,NOD2,RCV000536287,association,,
rs2066844,NOD2,RCV001283355,Benign,CN235283,none provided
rs2066845,NOD2,RCV000996267,Uncertain significance,CN517202,not provided
rs2066845,NOD2,RCV001118603,Benign,C5201146,Blau syndrome (BLAUS)
rs2066845,NOD2,RCV001120148,Uncertain significance,C0678202,Inflammatory bowel disease 1 (IBD1)
rs2066845,NOD2,RCV000004956,Likely benign,C0678202,Inflammatory bowel disease 1 (IBD1)
rs2066845,NOD2,RCV000238745,Uncertain significance,CN169374,not specified
rs2066845,NOD2,RCV000268347,Conflicting interpretations of pathogenicity,C5201146,Blau syndrome (BLAUS)
rs2066845,NOD2,RCV000416490,risk factor,C4310620,Yao syndrome (YAOS)
rs2066845,NOD2,RCV000638041,risk factor,,
rs2066845,NOD2,RCV000996266,Uncertain significance,CN517202,not provided
rs2066845,NOD2,RCV001282535,Likely benign,CN235283,none provided
rs2229207,IFNAR2,RCV000007711,risk factor,C1864880,"Hepatitis b virus, susceptibility to"
rs2231142,ABCG2,RCV000023341,association,C1841837,"Uric acid concentration, serum, quantitative trait locus 1 (UAQTL1)"
rs2231142,ABCG2,RCV000023342,association,C3280986,"Blood group, Junior system (JR)"
rs2231142,ABCG2,RCV000211355,drug response,CN236578,rosuvastatin response - Efficacy
rs2231142,ABCG2,RCV000419593,not provided,C0919267,Neoplasm of ovary
rs2231142,ABCG2,RCV000660795,drug response,,"allopurinol response - Dosage, Efficacy"
rs2231142,ABCG2,RCV000851365,drug response,CN188728,Gemcitabine response
rs231775,CTLA4,RCV000018423,risk factor,,"Hashimoto thyroiditis, susceptibility to"
rs231775,CTLA4,RCV000018424,risk factor,,"Thyroid-associated orbitopathy, susceptibility to"
rs231775,CTLA4,RCV000018425,risk factor,C3862275,"Systemic lupus erythematosus, susceptibility to"
rs231775,CTLA4,RCV000018427,risk factor,C1857845,Celiac disease 3 (CELIAC3)
rs231775,CTLA4,RCV000455037,Benign,CN169374,not specified
rs231775,CTLA4,RCV001255201,risk factor,,"TYPE 1 DIABETES MELLITUS 12, SUSCEPTIBILITY TO"
rs2397084,IL17F,RCV000381916,Benign,C3151405,"Candidiasis, familial, 6 (CANDF6)"
rs2397084,IL17F,RCV000456093,Benign,CN169374,not specified
rs763780,IL17F,RCV000369036,Benign,C3151405,"Candidiasis, familial, 6 (CANDF6)"
rs689,TH,RCV000280575,Benign,CN239353,"Transient Neonatal Diabetes, Dominant/Recessive"
rs689,TH,RCV000299006,Benign,C2673535,Autosomal recessive DOPA responsive dystonia
rs689,TH,RCV000386638,Benign,C0342276,Maturity onset diabetes mellitus in young (MODY)
rs689,TH,RCV000711996,Benign,CN517202,not provided
rs689,TH,RCV001103302,Benign,C3150617,"Maturity-onset diabetes of the young, type 10 (MODY10)"
rs267606640,AGL,RCV000001167,Pathogenic,C1968739,Glycogen storage disease IIIa (GSD IIIa)
rs267606640,AGL,RCV000333868,Pathogenic,C0017922,Glycogen storage disease type III (GSD3)
rs267606640,AGL,RCV000435914,Pathogenic,CN517202,not provided
rs370792293,AGL,RCV000169374,Pathogenic/Likely pathogenic,C0017922,Glycogen storage disease type III (GSD3)
rs370792293,AGL,RCV000585987,Pathogenic,C1968739,Glycogen storage disease IIIa (GSD IIIa)
rs267606689,NDUFAF5,RCV000000601,Pathogenic,C4748785,"Mitochondrial complex 1 deficiency, nuclear type 16"
rs267606776,DSG1-AS1,RCV000002843,Pathogenic,C1842839,Hypotrichosis 6 (HYPT6)
rs267606777,DSG1-AS1,RCV000002845,Pathogenic,C1842839,Hypotrichosis 6 (HYPT6)
rs267606990,PTPN11,RCV000014277,Pathogenic,C4551602,Noonan syndrome 1 (NS1)
rs267606990,PTPN11,RCV000033445,Pathogenic,CN517202,not provided
rs267606990,PTPN11,RCV000211847,Pathogenic,C0028326,Noonan syndrome (NS)
rs267606990,PTPN11,RCV000694389,Pathogenic,CN166718,Rasopathy
rs267606990,PTPN11,RCV000988912,Pathogenic,C0410530,Metachondromatosis (METCDS)
rs267606991,NECTIN4,RCV000001667,Pathogenic,C3150807,Ectodermal dysplasia-syndactyly syndrome 1 (EDSS1)
rs267606992,NECTIN4,RCV000001668,Pathogenic,C3150807,Ectodermal dysplasia-syndactyly syndrome 1 (EDSS1)
rs267607035,SEPSECS,RCV000000437,Likely pathogenic,C3151140,Pontocerebellar hypoplasia type 2D (PCH2D)
rs267607036,SEPSECS,RCV000000436,Pathogenic,C3151140,Pontocerebellar hypoplasia type 2D (PCH2D)
rs267607137,TRAPPC9,RCV000000795,Likely pathogenic,C2750791,"Mental retardation, autosomal recessive 13 (MRT13)"
rs267607137,TRAPPC9,RCV000273297,Pathogenic,CN517202,not provided
rs267607142,TRPM4,RCV000003968,Pathogenic,C1970298,Progressive familial heart block type IB (PFHB1B)
rs267608247,PEX6,RCV000624445,Pathogenic,C0950123,Inborn genetic diseases
rs61753219,PEX6,RCV000201297,Pathogenic,C4225267,Heimler syndrome 2 (HMLR2)
rs61753219,PEX6,RCV000622824,Pathogenic,C0950123,Inborn genetic diseases
rs61753219,PEX6,RCV000666553,Likely pathogenic,,
rs61753219,PEX6,RCV000735222,Likely pathogenic,C3553937,Peroxisome biogenesis disorder 4B (PBD4B)
rs61753219,PEX6,RCV001193476,Pathogenic,C1832200,"Peroxisome biogenesis disorders, Zellweger syndrome spectrum (PBD, ZSS)"
rs61753219,PEX6,RCV001276623,Pathogenic,C0043459,Zellweger syndrome (ZS)
rs267608260,PGM3,RCV000119832,Pathogenic,C4014371,Immunodeficiency 23 (IMD23)
rs267608260,PGM3,RCV000144537,Pathogenic,C3887645,Hyper-IgE syndrome
rs267608261,DOP1A,RCV000119833,Pathogenic,C4014371,Immunodeficiency 23 (IMD23)
rs267608261,DOP1A,RCV000144536,Pathogenic,C3887645,Hyper-IgE syndrome
rs587777416,PGM3,RCV000119831,Pathogenic,C4014371,Immunodeficiency 23 (IMD23)
rs2856597,ABCC6,RCV000499196,Uncertain significance,C0033847,Pseudoxanthoma elasticum (PXE)
rs28939702,ABCC6,RCV000006954,Pathogenic,C0033847,Pseudoxanthoma elasticum (PXE)
rs60791294,ABCC6,RCV000499087,Pathogenic,C0033847,Pseudoxanthoma elasticum (PXE)
rs60791294,ABCC6,RCV000006939,Pathogenic,C0033847,Pseudoxanthoma elasticum (PXE)
rs60791294,ABCC6,RCV000731285,Pathogenic,CN517202,not provided
rs63749856,ABCC6,RCV000006957,Pathogenic,C0033847,Pseudoxanthoma elasticum (PXE)
rs63749856,ABCC6,RCV000255838,Pathogenic,CN517202,not provided
rs63749856,ABCC6,RCV000762958,Pathogenic,,
rs63750414,ABCC6,RCV000499319,Pathogenic,C0033847,Pseudoxanthoma elasticum (PXE)
rs63750414,ABCC6,RCV000499074,Pathogenic,C0033847,Pseudoxanthoma elasticum (PXE)
rs72653772,ABCC6,RCV000255202,Pathogenic,CN517202,not provided
rs72653772,ABCC6,RCV000499158,Pathogenic,C0033847,Pseudoxanthoma elasticum (PXE)
rs72653772,ABCC6,RCV000763364,Pathogenic,,
rs72653785,ABCC6,RCV000499059,Likely pathogenic,C0033847,Pseudoxanthoma elasticum (PXE)
rs28897672,BRCA1,RCV000019229,Pathogenic,C2676676,"Breast-ovarian cancer, familial 1 (BROVCA1)"
rs28897672,BRCA1,RCV000047597,Pathogenic,C0677776,Hereditary breast and ovarian cancer syndrome (HBOC)
rs28897672,BRCA1,RCV000131902,Pathogenic,C0027672,Hereditary cancer-predisposing syndrome
rs28897672,BRCA1,RCV000159935,Pathogenic,CN517202,not provided
rs28897672,BRCA1,RCV000239114,Pathogenic,C0346153,Familial cancer of breast
rs28897672,BRCA1,RCV000412714,Pathogenic,C1458155,Breast neoplasm
rs28897672,BRCA1,RCV000415051,Pathogenic,C0678222,Breast carcinoma
rs28897672,BRCA1,RCV000506927,Pathogenic,CN235283,none provided
rs28897672,BRCA1,RCV000763010,Pathogenic,,
rs28897672,BRCA1,RCV000785199,Pathogenic,C0919267,Neoplasm of ovary
rs28897672,BRCA1,RCV001270967,Pathogenic,CN221562,Breast and/or ovarian cancer
rs28897672,BRCA1,RCV000258244,Pathogenic,C2676676,"Breast-ovarian cancer, familial 1 (BROVCA1)"
rs28897672,BRCA1,RCV000111959,Pathogenic,C2676676,"Breast-ovarian cancer, familial 1 (BROVCA1)"
rs28897672,BRCA1,RCV000759499,Likely pathogenic,CN517202,not provided
rs28897672,BRCA1,RCV001328445,Likely pathogenic,C0677776,Hereditary breast and ovarian cancer syndrome (HBOC)
rs80357728,BRCA1,RCV000111730,Pathogenic,C2676676,"Breast-ovarian cancer, familial 1 (BROVCA1)"
rs80357728,BRCA1,RCV000216341,Pathogenic,C0027672,Hereditary cancer-predisposing syndrome
rs28931594,GJB2,RCV000018556,Pathogenic,C0265336,"Keratitis-ichthyosis-deafness syndrome, autosomal dominant (KIDAD)"
rs28931594,GJB2,RCV000018546,Pathogenic,C0265336,"Keratitis-ichthyosis-deafness syndrome, autosomal dominant (KIDAD)"
rs28931594,GJB2,RCV000018547,Pathogenic,C1865234,Hystrix-like ichthyosis with deafness
rs28931594,GJB2,RCV000412852,Pathogenic,CN517202,not provided
rs28931594,GJB2,RCV000678868,Pathogenic,C3887873,Hearing loss
rs28931594,GJB2,RCV001175247,Pathogenic,C0018784,Sensorineural hearing loss
rs28931605,CRYGD,RCV000018451,Pathogenic,C3540850,Cataract 4 (CTRCT4)
rs28931605,CRYGD,RCV000018448,Pathogenic,C3540850,Cataract 4 (CTRCT4)
rs28931605,CRYGD,RCV000203330,Pathogenic,C0009691,Congenital cataract
rs28931605,CRYGD,RCV001061709,Pathogenic,C1861832,Aculeiform cataract (CTRCT4)
rs28933385,PRNP,RCV000014334,Pathogenic,C0751254,"Creutzfeldt-Jakob Disease, Familial (CJD)"
rs28933385,PRNP,RCV000014335,Pathogenic,C0206042,Fatal familial insomnia (FFI)
rs28933385,PRNP,RCV000644587,Pathogenic,C1864112,Huntington disease-like 1 (HDL1)
rs28933385,PRNP,RCV001285517,Pathogenic,CN235283,none provided
rs28933385,PRNP,RCV001310451,Pathogenic,CN517202,not provided
rs28933386,PTPN11,RCV000014254,Pathogenic,C4551602,Noonan syndrome 1 (NS1)
rs28933386,PTPN11,RCV000033516,Pathogenic,CN166718,Rasopathy
rs28933386,PTPN11,RCV000077863,Pathogenic,CN517202,not provided
rs28933386,PTPN11,RCV000156977,Pathogenic,C0028326,Noonan syndrome (NS)
rs28933386,PTPN11,RCV000515324,Pathogenic,,
rs28933386,PTPN11,RCV000576594,Pathogenic,,
rs28933386,PTPN11,RCV000621227,Pathogenic,CN230736,Cardiovascular phenotype
rs28933386,PTPN11,RCV000622835,Pathogenic,C0950123,Inborn genetic diseases
rs28933386,PTPN11,RCV000850589,Pathogenic,,
rs28933386,PTPN11,RCV000999988,Pathogenic,CN169374,not specified
rs28933386,PTPN11,RCV001253546,Pathogenic,C4551484,LEOPARD syndrome 1 (LPRD1)
rs28933386,PTPN11,RCV001270562,Likely pathogenic,,
rs28933386,PTPN11,RCV001293867,Pathogenic,C0027672,Hereditary cancer-predisposing syndrome
rs28934586,LOC106799833,RCV000001230,Likely pathogenic,C0268292,Deficiency of steroid 11-beta-monooxygenase (CYP11B1)
rs28934586,LOC106799833,RCV000791917,Pathogenic,CN517202,not provided
rs28934586,LOC106799833,RCV001199200,Likely pathogenic,C1260386,"Hyperaldosteronism, familial, type I (HALD1)"
rs28934906,MECP2,RCV000012580,Pathogenic/Likely pathogenic,C0035372,Rett syndrome (RTT)
rs28934906,MECP2,RCV000133129,Pathogenic,CN517202,not provided
rs28934906,MECP2,RCV000169935,Pathogenic,C1845336,"Autism, susceptibility to, X-linked 3 (AUTSX3)"
rs28934906,MECP2,RCV000170109,Pathogenic,C0162635,Angelman syndrome (AS)
rs28934906,MECP2,RCV000170110,Pathogenic,C1968556,Severe neonatal-onset encephalopathy with microcephaly
rs28934906,MECP2,RCV000507589,Pathogenic,CN169374,not specified
rs28934906,MECP2,RCV000623451,Pathogenic,C0950123,Inborn genetic diseases
rs28934906,MECP2,RCV000715117,Pathogenic,C2711754,History of neurodevelopmental disorder
rs28934906,MECP2,RCV000763199,Pathogenic,,
rs28936700,CYP1B1,RCV000008169,Pathogenic,C1856439,"Glaucoma 3, primary congenital, A (GLC3A)"
rs28936700,CYP1B1,RCV000255452,Pathogenic,CN517202,not provided
rs28936700,CYP1B1,RCV000763083,Pathogenic,,
